Day,Time,Subject,Batch,Room no.
THURSDAY,6:30,FINANCIAL REPORTING,1,"1,3"
THURSDAY,6:30,INT ADV AC,1,2
THURSDAY,6:30,FINAL IDT GST,1,4
THURSDAY,6:30,FINAL DT,1,5
THURSDAY,6:30,FINAL SFM,1,6
THURSDAY,6:30,FINAL DT (OLD),1,8
THURSDAY,9:45,INT AC,2,2
THURSDAY,10:00,FOUNDATION,2,3
THURSDAY,9:40,EIS/SM,2,6
THURSDAY,10:00,IPCC ADV AC,2,4
THURSDAY,11:50,INTER AUDIT,3,6
THURSDAY,1:00,FOUNDATION,3,3
THURSDAY,1:00,INTER  DT,3,5
THURSDAY,2:15,INTER ADV AC,4,2
THURSDAY,3:30,INTER LAW,4,3
THURSDAY,5:45,FINAL FINANCIAL REPORTING,5,3
THURSDAY,5:45,FINAL IDT,5,7
THURSDAY,5:45,FINAL AUDIT,5,6
THURSDAY,5:45,CMA,5,4
FRIDAY,6:30,FINANCIAL REPORTING,1,"1,3"
FRIDAY,6:30,INT ADV AC,1,2
FRIDAY,6:30,FINAL IDT GST,1,4
FRIDAY,6:30,FINAL DT,1,5
FRIDAY,6:30,FINAL SFM,1,6
FRIDAY,6:30,FINAL DT (OLD),1,8
FRIDAY,9:45,INT AC,2,2
FRIDAY,10:00,FOUNDATION,2,3
FRIDAY,9:40,EIS/SM,2,6
FRIDAY,10:00,IPCC ADV AC,2,4
FRIDAY,11:50,FM/ECO,3,6
FRIDAY,1:00,FOUNDATION,3,3
FRIDAY,1:00,INTER  DT,3,5
FRIDAY,2:15,INTER ADV AC,4,2
FRIDAY,3:30,INTER LAW,4,3
FRIDAY,5:45,FINAL FINANCIAL REPORTING,5,3
FRIDAY,5:45,FINAL IDT,5,7
FRIDAY,5:45,FINAL AUDIT,5,6
FRIDAY,5:45,CMA,5,4
SATURDAY,6:30,FINANCIAL REPORTING,1,"1,3"
SATURDAY,6:30,FINAL IDT GST,1,4
SATURDAY,6:30,FINAL DT,1,5
SATURDAY,6:30,FINAL SFM,1,6
SATURDAY,6:30,FINAL DT (OLD),1,8
SATURDAY,9:45,INT AC,2,2
SATURDAY,10:00,FOUNDATION,2,3
SATURDAY,9:40,EIS/SM,2,6
SATURDAY,10:00,IPCC ADV AC,2,4
SATURDAY,11:50,INTER AUDIT,3,6
SATURDAY,1:00,FOUNDATION,3,3
SATURDAY,1:00,INTER  DT,3,5
SATURDAY,2:15,INTER ECO,4,6
SATURDAY,3:30,INTER LAW,4,3
SATURDAY,5:45,FINAL FINANCIAL REPORTING,5,3
SATURDAY,5:45,FINAL IDT,5,7
SATURDAY,5:45,FINAL AUDIT,5,6
SATURDAY,5:45,CMA,5,4
SUNDAY,6:30,FINAL IDT GST,1,4
SUNDAY,6:30,FINAL DT,1,5
SUNDAY,6:30,FINAL SFM,1,6
SUNDAY,6:30,FINAL DT (OLD),1,8
SUNDAY,9:45,INT AC,2,2
SUNDAY,10:00,FOUNDATION,2,3
SUNDAY,9:40,EIS/SM,2,6
SUNDAY,10:00,IPCC ADV AC,2,4
SUNDAY,11:50,INTER AUDIT,3,6
SUNDAY,1:00,FOUNDATION,3,3
SUNDAY,1:00,INTER  DT,3,5
SUNDAY,2:15,INTER ECO,4,6
SUNDAY,3:30,INTER LAW,4,3
SUNDAY,5:45,FINAL IDT,5,7
SUNDAY,5:45,FINAL AUDIT,5,6
SUNDAY,5:45,CMA,5,4
MONDAY,6:30,FINANCIAL REPORTING,1,"1,3"
MONDAY,6:30,INT ADV AC,1,2
MONDAY,6:30,FINAL IDT GST,1,4
MONDAY,6:30,FINAL DT,1,5
MONDAY,6:30,FINAL SFM,1,6
MONDAY,6:30,FINAL DT (OLD),1,8
MONDAY,9:45,INT AC,2,2
MONDAY,10:00,FOUNDATION,2,3
MONDAY,9:40,EIS/SM,2,6
MONDAY,10:00,IPCC ADV AC,2,4
MONDAY,11:50,INTER FM,3,6
MONDAY,1:00,FOUNDATION,3,3
MONDAY,1:00,INTER  DT,3,5
MONDAY,2:15,INTER ADV AC,4,2
MONDAY,3:30,INTER LAW,4,3
MONDAY,5:45,FINAL FINANCIAL REPORTING,5,3
MONDAY,5:45,FINAL IDT,5,7
MONDAY,5:45,FINAL AUDIT,5,6
MONDAY,5:45,CMA,5,4
TUESDAY,6:30,FINANCIAL REPORTING,1,"1,3"
TUESDAY,6:30,INT ADV AC,1,2
TUESDAY,6:30,FINAL IDT GST,1,4
TUESDAY,6:30,FINAL DT,1,5
TUESDAY,6:30,FINAL SFM,1,6
TUESDAY,6:30,FINAL DT (OLD),1,8
TUESDAY,9:45,INT AC,2,2
TUESDAY,10:00,FOUNDATION,2,3
TUESDAY,9:40,EIS/SM,2,6
TUESDAY,10:00,IPCC ADV AC,2,4
TUESDAY,11:50,INTER AUDIT,3,6
TUESDAY,1:00,FOUNDATION,3,3
